,country,code,indicator,time,value
174,Slovenia,SVN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
175,Solomon Islands,SLB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
176,Somalia,SOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
177,South Africa,ZAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,82697
178,South Sudan,SSD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
179,Spain,ESP,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
180,Sri Lanka,LKA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,12325
181,St. Kitts and Nevis,KNA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
182,St. Lucia,LCA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
183,St. Martin (French part),MAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
184,St. Vincent and the Grenadines,VCT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
185,Sudan,SDN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
186,Suriname,SUR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
188,Sweden,SWE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
189,Switzerland,CHE,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
190,Syrian Arab Republic,SYR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
191,Tajikistan,TJK,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
192,Tanzania,TZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,2027
193,Thailand,THA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
194,Timor-Leste,TLS,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
195,Togo,TGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
196,Tonga,TON,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,0
197,Trinidad and Tobago,TTO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
198,Tunisia,TUN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
199,Turkey,TUR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
200,Turkmenistan,TKM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
201,Turks and Caicos Islands,TCA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
202,Tuvalu,TUV,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
203,Uganda,UGA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,4232
204,Ukraine,UKR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
