Country Name,Country Code,Indicator Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Central African Republic,CAF,"Enrolment in tertiary education, all programmes, both sexes (number)",,155,,,381,415,669,743,1011,1486,2094,1719,2549,2162,2413,2522,2651,2450,2754,3075,3482,3840,3684,,,,,,,6229,6323,,,,6384,,4462,,9473,10427,11158,13289,12522,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,"Enrolment in tertiary education, all programmes, both sexes (number)",,0,46,243,605,419,547,758,,,,,,,,1643,,,,2983,,,,,,,3446,3798,4799,,5901,6106,,7397,10081,12373,,,18990,20394,22130,24349,,,42463,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Enrolment in tertiary education, all programmes, both sexes (number)",78430,101087,127238,146451,145003,149647,134149,131793,130982,127349,145497,,158117,178332,188665,197437,214273,224338,234973,,,261800,297122,324594,334808,342788,367094,380603,406553,450952,452177,,521609,567114,580815,663694,661142,753398,804981,876243,987643,1061527,1118773,1174011,1205182,1221774,,,,,,,,,,,,,,,,,,,
China,CHN,"Enrolment in tertiary education, all programmes, both sexes (number)",108617,,,193719,313645,429981,500993,564715,625319,856322,1019950,1662796,,,2169978,2746124,3515485,3843102,3936882,3906301,3924546,3822371,3660248,3699840,4505215,5278935,5621543,5826636,6075215,6365625,7364111,9398581,12143723,15186217,18090814,20601220,23360536,25346280,26691696,29295840,31046736,31308378,32585960,34091288,41924200,43367392,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Enrolment in tertiary education, all programmes, both sexes (number)",85560,99262,116709,130682,148613,176098,202437,237477,253547,267885,271630,318293,335833,356000,378586,391490,417654,434623,457834,474787,487448,510649,535320,547468,576540,588322,644188,772291,879840,877944,934085,977243,989745,,1112574,1223594,1314972,1372674,1487186,1570447,1674420,1849466,1958429,2109224,2220652,2293550,,,,,,,,,,,,,,,,,,,
Comoros,COM,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,248,,223,229,,,348,,,649,714,,,1707,,,,2598,,3896,3905,5516,6087,6231,6499,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Enrolment in tertiary education, all programmes, both sexes (number)",,12363,14999,16054,18368,21021,24853,25620,27146,28430,26700,28493,33901,32758,38380,38656,40878,45731,52800,61422,66614,80233,,,,93266,,,,60341,,,,,,,229443,237836,308739,377867,,487685,511251,442979,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Enrolment in tertiary education, all programmes, both sexes (number)",,1788,1483,2098,2570,3007,3249,3785,4567,5455,6848,7255,8886,9445,9984,10444,10684,11008,12043,10310,10490,10671,12045,13806,,,,,,10713,15629,13403,12164,12347,,,,,,23397,,33928,39303,37037,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Enrolment in tertiary education, all programmes, both sexes (number)",15473,17588,19627,22631,,,,,52542,55378,55593,58961,58974,58927,60288,63771,66550,71585,70907,74682,74681,80442,88324,,,,,,,,,,,,108765,,,,,,,194933,203175,205247,216751,217841,,,,,,,,,,,,,,,,,,,
